utt_id,row_id,index,stageIds,gameId,createdAt,targetNum,repNum,trialNum,text,playerId,target,role,countCorrect,speaker,submitted
1,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,looks like they are pointing to the right,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
2,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,Does it have an upwards pointing tail?,TmGhWCgqKsPPuwW7m,/experiment/tangram_L.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
3,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,no; it looks like it is crouching,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
4,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,with its legs pointing backwards,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
5,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,both arms are point right?,Y4gBWfBNJrF5xNnYa,/experiment/tangram_L.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
6,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,you can only see one arm so yeah,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
7,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,Ok; I think I got it,Y4gBWfBNJrF5xNnYa,/experiment/tangram_L.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
8,5D4wy6rk9qKbiM5Yp,0,MW7d2EbPWrDvyFJW2_BygjiM3rNtti9ndCk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,0,0,looks a bit like somebody crouching down to pray or read,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
9,osdCX4iTHTm7Y5Dt4,1,MBRCKbWEtBGaNMa2W_9JQggmyDCHuiTukss,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,1,0,1,so its arm is pointing the same way,XzSxf5dbkTQbAySyn,/experiment/tangram_K.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
10,osdCX4iTHTm7Y5Dt4,1,MBRCKbWEtBGaNMa2W_9JQggmyDCHuiTukss,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,1,0,1,it looks similar to last time except it has a tail pointing up,XzSxf5dbkTQbAySyn,/experiment/tangram_K.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
11,osdCX4iTHTm7Y5Dt4,1,MBRCKbWEtBGaNMa2W_9JQggmyDCHuiTukss,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,1,0,1,;),TmGhWCgqKsPPuwW7m,/experiment/tangram_K.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
12,osdCX4iTHTm7Y5Dt4,1,MBRCKbWEtBGaNMa2W_9JQggmyDCHuiTukss,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,1,0,1,Ok; got it ;),Y4gBWfBNJrF5xNnYa,/experiment/tangram_K.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
13,sT7feDzCXYPwjCf8h,2,enmCKpA4LAz4Yz8F7_TQuQtWmGvjo9eoKga,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,2,0,2,so this looks like a figure skater,XzSxf5dbkTQbAySyn,/experiment/tangram_I.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
14,sT7feDzCXYPwjCf8h,2,enmCKpA4LAz4Yz8F7_TQuQtWmGvjo9eoKga,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,2,0,2,it has a leg pointing out behind it,XzSxf5dbkTQbAySyn,/experiment/tangram_I.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
15,sT7feDzCXYPwjCf8h,2,enmCKpA4LAz4Yz8F7_TQuQtWmGvjo9eoKga,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,2,0,2,at a right angle,XzSxf5dbkTQbAySyn,/experiment/tangram_I.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
16,sT7feDzCXYPwjCf8h,2,enmCKpA4LAz4Yz8F7_TQuQtWmGvjo9eoKga,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,2,0,2,2 arms pointing to the left?,TmGhWCgqKsPPuwW7m,/experiment/tangram_I.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
17,NMQCE4EzhYt2h9wbR,3,MtHMMKdNehRPJ9sfm_zybT5ftm7g6Mr8qbt,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,0,3,sorry,XzSxf5dbkTQbAySyn,/experiment/tangram_F.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
18,NMQCE4EzhYt2h9wbR,3,MtHMMKdNehRPJ9sfm_zybT5ftm7g6Mr8qbt,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,0,3,ok so they are sat down,XzSxf5dbkTQbAySyn,/experiment/tangram_F.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
19,NMQCE4EzhYt2h9wbR,3,MtHMMKdNehRPJ9sfm_zybT5ftm7g6Mr8qbt,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,0,3,with their legs pointing to the left,XzSxf5dbkTQbAySyn,/experiment/tangram_F.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
20,NMQCE4EzhYt2h9wbR,3,MtHMMKdNehRPJ9sfm_zybT5ftm7g6Mr8qbt,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,0,3,looks like they are doing a sit up,XzSxf5dbkTQbAySyn,/experiment/tangram_F.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
21,bHLpx4ZXFfF3dg4is,4,W9mdy26Sko9WuLJob_BRwG6ePf6edzHqszX,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,4,0,4,this one is really box shaped,XzSxf5dbkTQbAySyn,/experiment/tangram_J.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
22,bHLpx4ZXFfF3dg4is,4,W9mdy26Sko9WuLJob_BRwG6ePf6edzHqszX,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,4,0,4,small arm pointing to right,XzSxf5dbkTQbAySyn,/experiment/tangram_J.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
23,bHLpx4ZXFfF3dg4is,4,W9mdy26Sko9WuLJob_BRwG6ePf6edzHqszX,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,4,0,4,completely flat back,XzSxf5dbkTQbAySyn,/experiment/tangram_J.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
24,vNwhypzjzNT75Jd8i,5,gWrieEutn5tnov2mj_3bBrLBu2WXs5vgKKk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,0,5,hands and looks like a sleeve pointing left,XzSxf5dbkTQbAySyn,/experiment/tangram_D.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
25,vNwhypzjzNT75Jd8i,5,gWrieEutn5tnov2mj_3bBrLBu2WXs5vgKKk,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,0,5,completely flat back again on the right,XzSxf5dbkTQbAySyn,/experiment/tangram_D.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
26,Q4SHRJjWJn2uoTck3,6,kRqTmWtvKjPhnjddr_hhrpCoMaaLcgWCQzn,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,6,0,6,this has its legs pointing right; its sat down; and has two pointing things from its head,XzSxf5dbkTQbAySyn,/experiment/tangram_E.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
27,Q4SHRJjWJn2uoTck3,6,kRqTmWtvKjPhnjddr_hhrpCoMaaLcgWCQzn,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,6,0,6,its body is triangle shaped,XzSxf5dbkTQbAySyn,/experiment/tangram_E.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
28,aPzDjpNzCPehyf7JJ,7,YTuj7Xq3hniBd7KRB_tvgBMDEzYKRh4MPpZ,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,7,0,7,so they are stood up; both feet pointing left and one leg is raised,XzSxf5dbkTQbAySyn,/experiment/tangram_A.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
29,aPzDjpNzCPehyf7JJ,7,YTuj7Xq3hniBd7KRB_tvgBMDEzYKRh4MPpZ,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,7,0,7,head is tilted back to the right,XzSxf5dbkTQbAySyn,/experiment/tangram_A.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
30,aPzDjpNzCPehyf7JJ,7,YTuj7Xq3hniBd7KRB_tvgBMDEzYKRh4MPpZ,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,7,0,7,arms are up; like frankenstein,XzSxf5dbkTQbAySyn,/experiment/tangram_A.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
31,L5fZHWop3pFEfw74j,8,2KE92NuALuuByDJ9W_vk8H4DwyoqojBRLFR,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,0,8,arms and legs to the right; looks like its walking dramatically,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
32,L5fZHWop3pFEfw74j,8,2KE92NuALuuByDJ9W_vk8H4DwyoqojBRLFR,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,0,8,has a long tale out to the left,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
